"sample","assigned_subtype","max_score","score","risk","subtype.subtype.score","subtype.subtype","subtype.Angiogenic.proba","subtype.nonAngiogenic.proba"
"41f62365-a65b-4a80-aaab-323f676f67d9.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",1.20990127608346,1.20990127608346,0,1.20990127608346,"nonAngiogenic",8.44959528351936e-08,0.999999915504047
"2e844d1a-874f-4972-820e-1d4f89575463.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999959729313336,0.660751448649412,0,0.660751448649412,"nonAngiogenic",4.02706866642979e-05,0.999959729313336
"87d7f834-2064-4e3b-9c41-8fbff133f285.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999951929249398,0.644984336201764,0,0.644984336201764,"nonAngiogenic",4.80707506016765e-05,0.999951929249398
"d1cc1450-ae0d-42ea-b45f-dd4f8bcbd399.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999993174416719,0.818814463954836,0,0.818814463954836,"nonAngiogenic",6.82558328138636e-06,0.999993174416719
"59b900d7-691a-423c-a590-cc9e1f0735dc.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.816498516310817,-0.107492143904708,0,-0.107492143904708,"nonAngiogenic",0.183501483689183,0.816498516310817
"4e56c9e5-1d7e-4329-96b3-1825863e4fc0.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999879257402128,0.562963396280755,0,0.562963396280755,"nonAngiogenic",0.000120742597871932,0.999879257402128
"c1727ac9-43ce-4f5f-b785-7d9f85f944bb.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999880636623945,0.563986583234001,0,0.563986583234001,"nonAngiogenic",0.000119363376055122,0.999880636623945
"2e2a3b0d-9b35-47ef-bfa8-98c2519cff9c.rna_seq.augmented_star_gene_counts.tsv","Angiogenic",1,-0.369115934922628,1,-0.369115934922628,"Angiogenic",0.809246255332993,0.190753744667007
"3f97103b-9c36-40df-b3d3-88e9b118f5ce.rna_seq.augmented_star_gene_counts.tsv","Angiogenic",1,-0.999453908701533,1,-0.999453908701533,"Angiogenic",0.999801305520346,0.000198694479654544
"8a8dab8f-000a-46bc-9e8e-de80237aed4c.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999994991193333,0.846374019578547,0,0.846374019578547,"nonAngiogenic",5.00880666667389e-06,0.999994991193333
"791c5e20-ea2c-483e-b409-bea457466497.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999671847437306,0.473910545375278,0,0.473910545375278,"nonAngiogenic",0.00032815256269441,0.999671847437306
"e790bff9-6d2d-48b7-af55-b1029378322e.rna_seq.augmented_star_gene_counts.tsv","Angiogenic",1,-0.29677964899316,1,-0.29677964899316,"Angiogenic",0.653127408031032,0.346872591968968
"774c4255-87c8-4e0d-9f23-64ac32174a82.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999994063924688,0.831248645657025,0,0.831248645657025,"nonAngiogenic",5.93607531188909e-06,0.999994063924688
"7d14ddef-7a1b-4515-9536-3fc4a9b85702.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999886846270427,0.568744673250976,0,0.568744673250976,"nonAngiogenic",0.000113153729573285,0.999886846270427
"9b68eedc-cd12-4d48-865c-d69aec556dd4.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.99999059013946,0.790221832375227,0,0.790221832375227,"nonAngiogenic",9.40986054056133e-06,0.99999059013946
"f0cdf1bd-137e-42cf-a98f-dc9dd37ae19d.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.997382634560073,0.288797691177737,0,0.288797691177737,"nonAngiogenic",0.00261736543992699,0.997382634560073
"57bfee10-7547-4a15-a774-23ea7e6cf5e9.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999978483590847,0.716570754218442,0,0.716570754218442,"nonAngiogenic",2.1516409152799e-05,0.999978483590847
"d0f28c51-328f-4573-a872-a3ef811d18ca.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999982165293943,0.733283168700638,0,0.733283168700638,"nonAngiogenic",1.78347060573816e-05,0.999982165293943
"36e1390b-65ee-499f-8247-df984c24547f.rna_seq.augmented_star_gene_counts.tsv","Angiogenic",1,-0.478469308227602,1,-0.478469308227602,"Angiogenic",0.9354212268769,0.0645787731230998
"73fb7bab-b6f9-4411-a0f2-48f884eb5679.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.979787799024937,0.105182744182416,0,0.105182744182416,"nonAngiogenic",0.0202122009750633,0.979787799024937
"c6996478-e874-456e-ad0c-296658d8baa2.rna_seq.augmented_star_gene_counts.tsv","Angiogenic",1,-0.502207377877502,1,-0.502207377877502,"Angiogenic",0.949773437633059,0.0502265623669407
"0f3919e2-e4d0-4394-9cba-88b8653694a0.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.99996467189258,0.672412615916788,0,0.672412615916788,"nonAngiogenic",3.53281074201689e-05,0.99996467189258
"25ff83ac-f657-473a-a0d0-fd5e98e2f691.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.547846691385065,-0.2233316923945,0,-0.2233316923945,"nonAngiogenic",0.452153308614935,0.547846691385065
"ff23c7dc-14a8-43a4-a00b-3bafdc645e46.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.998607791144051,0.345122587045381,0,0.345122587045381,"nonAngiogenic",0.00139220885594906,0.998607791144051
"24de03d9-8635-4173-ad2b-08d01f7ff27f.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999812405774054,0.523719935901818,0,0.523719935901818,"nonAngiogenic",0.00018759422594643,0.999812405774054
"cfdb5780-7a6a-41ec-80f6-1405a06ba81d.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999982675477053,0.735867759396246,0,0.735867759396246,"nonAngiogenic",1.73245229465688e-05,0.999982675477053
"f3aafcfa-9e92-4d07-905c-c9b4fdd276c0.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999678304953931,0.475680965580024,0,0.475680965580024,"nonAngiogenic",0.000321695046068938,0.999678304953931
"962fb836-bac4-4da3-8705-fe9a5cacde8e.rna_seq.augmented_star_gene_counts.tsv","Angiogenic",1,-1.69566878496342,1,-1.69566878496342,"Angiogenic",0.999999920039755,7.99602448971739e-08
"d936e585-e711-48ec-955f-ef3dc5ca7353.rna_seq.augmented_star_gene_counts.tsv","Angiogenic",1,-1.07675157463194,1,-1.07675157463194,"Angiogenic",0.999916581991273,8.34180087266521e-05
"c18d6e53-5ede-44c8-a80a-0b961d59a094.rna_seq.augmented_star_gene_counts.tsv","Angiogenic",1,-0.396821648080671,1,-0.396821648080671,"Angiogenic",0.852738519217693,0.147261480782307
"c0b634eb-856b-491e-ab86-3088950176d9.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999943150055067,0.630046083383956,0,0.630046083383956,"nonAngiogenic",5.68499449327065e-05,0.999943150055067
"bbb907c3-ad29-4255-9b4c-764d052db122.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999717790029805,0.487345898367874,0,0.487345898367874,"nonAngiogenic",0.000282209970195387,0.999717790029805
"c0e46d22-7732-4048-b5e9-7e631f7a797a.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999219843843252,0.396751060812833,0,0.396751060812833,"nonAngiogenic",0.000780156156747802,0.999219843843252
"391b894d-7639-4e12-97f1-e189233505ff.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999984329187257,0.744801739437069,0,0.744801739437069,"nonAngiogenic",1.56708127432312e-05,0.999984329187257
"fcd1465c-ddbb-438c-81c9-9be12b5327af.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.99999048944331,0.789273943801057,0,0.789273943801057,"nonAngiogenic",9.51055669032523e-06,0.99999048944331
"7a647483-f972-492c-972d-63b7eff7beff.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999984743595637,0.747188381653798,0,0.747188381653798,"nonAngiogenic",1.52564043634193e-05,0.999984743595637
"7bac05ec-f793-4b99-b1d1-c848f0c69b60.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.996409510322594,0.260560053138591,0,0.260560053138591,"nonAngiogenic",0.00359048967740643,0.996409510322594
